personID,cityID
1000000000,2000080
1000000001,2000033
1000000002,2000013
1000000003,2000040
1000000004,2000043
1000000005,2000049
1000000006,2000007
1000000007,2000056
1000000008,2000019
1000000009,2000057
1000000010,2000061
1000000011,2000044
1000000012,2000033
1000000013,2000082
1000000014,2000074
1000000015,2000013
1000000016,2000042
1000000017,2000038
1000000018,2000050
1000000019,2000079
1000000020,2000001
1000000021,2000009
1000000022,2000008
1000000023,2000027
1000000024,2000061
1000000025,2000084
1000000026,2000025
1000000027,2000034
1000000028,2000011
1000000029,2000077
1000000030,2000059
1000000031,2000013
1000000032,2000027
1000000033,2000042
1000000034,2000001
1000000035,2000067
1000000036,2000044
1000000037,2000000
1000000038,2000061
1000000039,2000030
1000000040,2000000
1000000041,2000033
1000000042,2000025
1000000043,2000037
1000000044,2000079
1000000045,2000073
1000000046,2000057
1000000047,2000033
1000000048,2000050
1000000049,2000001
1000000050,2000049
1000000051,2000030
1000000052,2000077
1000000053,2000080
1000000054,2000084
1000000055,2000040
1000000056,2000084
1000000057,2000040
1000000058,2000025
1000000059,2000034
1000000060,2000033
1000000061,2000051
1000000062,2000044
1000000063,2000070
1000000064,2000025
1000000065,2000049
1000000066,2000030
1000000067,2000013
1000000068,2000001
1000000069,2000043
1000000070,2000080
1000000071,2000083
1000000072,2000068
1000000073,2000079
1000000074,2000040
1000000075,2000030
1000000076,2000084
1000000077,2000002
1000000078,2000049
1000000079,2000033
1000000080,2000061
1000000081,2000034
1000000082,2000021
1000000083,2000009
1000000084,2000030
1000000085,2000084
1000000086,2000061
1000000087,2000023
1000000088,2000008
1000000089,2000015
1000000090,2000047
1000000091,2000013
1000000092,2000008
1000000093,2000037
1000000094,2000020
1000000095,2000027
1000000096,2000043
1000000097,2000037
1000000098,2000030
1000000099,2000027
1000000100,2000033
1000000101,2000043
1000000102,2000017
1000000103,2000051
1000000104,2000059
1000000105,2000018
1000000106,2000063
1000000107,2000049
1000000108,2000068
1000000109,2000049
1000000110,2000010
1000000111,2000034
1000000112,2000036
1000000113,2000049
1000000114,2000002
1000000115,2000000
1000000116,2000036
1000000117,2000002
1000000118,2000033
1000000119,2000000
1000000120,2000062
1000000121,2000009
1000000122,2000084
1000000123,2000079
1000000124,2000027
1000000125,2000038
1000000126,2000054
1000000127,2000049
1000000128,2000044
1000000129,2000034
1000000130,2000064
1000000131,2000008
1000000132,2000064
1000000133,2000017
1000000134,2000001
1000000135,2000001
1000000136,2000010
1000000137,2000017
1000000138,2000080
1000000139,2000044
1000000140,2000036
1000000141,2000056
1000000142,2000082
1000000143,2000010
1000000144,2000034
1000000145,2000066
1000000146,2000013
1000000147,2000034
1000000148,2000044
1000000149,2000008
1000000150,2000030
1000000151,2000047
1000000152,2000084
1000000153,2000009
1000000154,2000025
1000000155,2000051
1000000156,2000043
1000000157,2000059
1000000158,2000051
1000000159,2000034
1000000160,2000021
1000000161,2000017
1000000162,2000043
1000000163,2000057
1000000164,2000084
1000000165,2000036
1000000166,2000051
1000000167,2000054
1000000168,2000001
1000000169,2000044
1000000170,2000043
1000000171,2000030
1000000172,2000025
1000000173,2000044
1000000174,2000027
1000000175,2000028
1000000176,2000030
1000000177,2000008
1000000178,2000013
1000000179,2000012
1000000180,2000017
1000000181,2000038
1000000182,2000028
1000000183,2000027
1000000184,2000028
1000000185,2000019
1000000186,2000029
1000000187,2000049
1000000188,2000000
1000000189,2000028
1000000190,2000084
1000000191,2000033
1000000192,2000000
1000000193,2000080
1000000194,2000065
1000000195,2000009
1000000196,2000002
1000000197,2000033
1000000198,2000047
1000000199,2000000
1000000200,2000079
1000000201,2000008
1000000202,2000019
1000000203,2000001
1000000204,2000028
1000000205,2000020
1000000206,2000051
1000000207,2000033
1000000208,2000061
1000000209,2000044
1000000210,2000017
1000000211,2000068
1000000212,2000033
1000000213,2000008
1000000214,2000081
1000000215,2000031
1000000216,2000037
1000000217,2000079
1000000218,2000036
1000000219,2000027
1000000220,2000028
1000000221,2000030
1000000222,2000051
1000000223,2000043
1000000224,2000019
1000000225,2000009
1000000226,2000058
1000000227,2000009
1000000228,2000017
1000000229,2000084
1000000230,2000019
1000000231,2000033
1000000232,2000080
1000000233,2000034
1000000234,2000036
1000000235,2000079
1000000236,2000027
1000000237,2000076
1000000238,2000013
1000000239,2000002
1000000240,2000028
1000000241,2000085
1000000242,2000008
1000000243,2000009
1000000244,2000008
1000000245,2000061
1000000246,2000073
1000000247,2000073
1000000248,2000044
1000000249,2000030
1000000250,2000002
1000000251,2000073
1000000252,2000028
1000000253,2000073
1000000254,2000025
1000000255,2000001
1000000256,2000033
1000000257,2000019
1000000258,2000002
1000000259,2000027
1000000260,2000013
1000000261,2000061
1000000262,2000037
1000000263,2000025
1000000264,2000008
1000000265,2000001
1000000266,2000044
1000000267,2000068
1000000268,2000013
1000000269,2000019
1000000270,2000017
1000000271,2000044
1000000272,2000079
1000000273,2000036
1000000274,2000061
1000000275,2000047
1000000276,2000018
1000000277,2000029
1000000278,2000028
1000000279,2000005
1000000280,2000017
1000000281,2000053
1000000282,2000047
1000000283,2000025
1000000284,2000017
1000000285,2000036
1000000286,2000015
1000000287,2000002
1000000288,2000001
1000000289,2000006
1000000290,2000079
1000000291,2000000
1000000292,2000073
1000000293,2000027
1000000294,2000001
1000000295,2000036
1000000296,2000013
1000000297,2000025
1000000298,2000000
1000000299,2000030
1000000300,2000043
1000000301,2000079
1000000302,2000002
1000000303,2000043
1000000304,2000049
1000000305,2000079
1000000306,2000073
1000000307,2000051
1000000308,2000055
1000000309,2000064
1000000310,2000017
1000000311,2000018
1000000312,2000079
1000000313,2000017
1000000314,2000051
1000000315,2000068
1000000316,2000017
1000000317,2000049
1000000318,2000027
1000000319,2000009
1000000320,2000040
1000000321,2000037
1000000322,2000017
1000000323,2000036
1000000324,2000072
1000000325,2000030
1000000326,2000034
1000000327,2000084
1000000328,2000061
1000000329,2000013
1000000330,2000037
1000000331,2000084
1000000332,2000044
1000000333,2000020
1000000334,2000001
1000000335,2000043
1000000336,2000068
1000000337,2000010
1000000338,2000020
1000000339,2000002
1000000340,2000002
1000000341,2000028
1000000342,2000002
1000000343,2000084
1000000344,2000013
1000000345,2000010
1000000346,2000034
1000000347,2000038
1000000348,2000060
1000000349,2000018
1000000350,2000032
1000000351,2000037
1000000352,2000051
1000000353,2000000
1000000354,2000033
1000000355,2000082
1000000356,2000019
1000000357,2000013
1000000358,2000049
